,소비일자,소비업종,성별,연령대,소비건수(삼성),소비건수(신한)
0,20190101,가전/가구,1,20,5.5,32.8
1,20190101,가전/가구,1,30,17.5,21.6
2,20190101,가전/가구,1,40,22.8,17.2
3,20190101,가전/가구,1,50,15.8,12.5
4,20190101,가전/가구,1,60,6.8,5.0
5,20190101,가전/가구,0,20,5.9,18.4
6,20190101,가전/가구,0,30,12.9,13.3
7,20190101,가전/가구,0,40,16.9,12.7
8,20190101,가전/가구,0,50,14.0,10.8
9,20190101,가전/가구,0,60,5.9,4.0
10,20190101,가정생활/서비스,1,20,0.3,57.49999999999999
11,20190101,가정생활/서비스,1,30,3.6,105.3
12,20190101,가정생활/서비스,1,40,4.2,122.10000000000001
13,20190101,가정생활/서비스,1,50,1.3,59.5
14,20190101,가정생활/서비스,1,60,0.7,23.599999999999998
15,20190101,가정생활/서비스,0,20,1.3,53.699999999999996
16,20190101,가정생활/서비스,0,30,21.2,115.9
17,20190101,가정생활/서비스,0,40,7.8,122.2
18,20190101,가정생활/서비스,0,50,1.2,49.900000000000006
19,20190101,가정생활/서비스,0,60,0.4,15.5
20,20190101,교육/학원,1,20,7.2,14.8
21,20190101,교육/학원,1,30,30.7,12.399999999999999
22,20190101,교육/학원,1,40,47.2,20.5
23,20190101,교육/학원,1,50,16.2,11.100000000000001
24,20190101,교육/학원,1,60,3.1,2.4
25,20190101,교육/학원,0,20,12.6,24.799999999999997
26,20190101,교육/학원,0,30,29.3,16.4
27,20190101,교육/학원,0,40,41.9,27.0
28,20190101,교육/학원,0,50,12.4,9.5
29,20190101,교육/학원,0,60,2.8,2.1
30,20190101,미용,1,20,16.2,49.9
31,20190101,미용,1,30,28.0,57.699999999999996
32,20190101,미용,1,40,27.2,66.8
33,20190101,미용,1,50,15.0,50.4
34,20190101,미용,1,60,3.1,24.200000000000003
35,20190101,미용,0,20,32.3,50.7
36,20190101,미용,0,30,27.8,42.8
37,20190101,미용,0,40,32.0,57.3
38,20190101,미용,0,50,18.7,45.6
39,20190101,미용,0,60,4.6,19.5
40,20190101,백화점/상품권/아울렛,1,20,22.5,22.1
41,20190101,백화점/상품권/아울렛,1,30,98.5,46.7
42,20190101,백화점/상품권/아울렛,1,40,109.0,40.6
43,20190101,백화점/상품권/아울렛,1,50,45.9,19.9
44,20190101,백화점/상품권/아울렛,1,60,14.8,7.5
45,20190101,백화점/상품권/아울렛,0,20,37.9,35.3
46,20190101,백화점/상품권/아울렛,0,30,92.8,46.4
47,20190101,백화점/상품권/아울렛,0,40,99.9,38.8
48,20190101,백화점/상품권/아울렛,0,50,53.6,23.0
49,20190101,백화점/상품권/아울렛,0,60,17.2,9.3
50,20190101,스포츠/문화/레저,1,20,114.4,556.0
51,20190101,스포츠/문화/레저,1,30,144.6,232.0
52,20190101,스포츠/문화/레저,1,40,184.0,217.0
53,20190101,스포츠/문화/레저,1,50,102.9,122.80000000000001
54,20190101,스포츠/문화/레저,1,60,31.2,38.099999999999994
55,20190101,스포츠/문화/레저,0,20,56.8,169.70000000000002
56,20190101,스포츠/문화/레저,0,30,84.7,127.6
57,20190101,스포츠/문화/레저,0,40,124.8,162.5
58,20190101,스포츠/문화/레저,0,50,77.0,87.0
59,20190101,스포츠/문화/레저,0,60,21.8,25.900000000000006
60,20190101,여행/교통,1,20,40.5,39.0
61,20190101,여행/교통,1,30,92.5,40.800000000000004
62,20190101,여행/교통,1,40,102.6,39.9
63,20190101,여행/교통,1,50,65.7,24.5
64,20190101,여행/교통,1,60,22.1,11.0
65,20190101,여행/교통,0,20,41.4,22.700000000000003
66,20190101,여행/교통,0,30,61.8,21.9
67,20190101,여행/교통,0,40,66.4,23.1
68,20190101,여행/교통,0,50,46.2,13.0
69,20190101,여행/교통,0,60,12.6,5.6
70,20190101,요식/유흥,1,20,456.6,1401.1
71,20190101,요식/유흥,1,30,954.2,1370.8
72,20190101,요식/유흥,1,40,1062.3,1244.7
73,20190101,요식/유흥,1,50,674.9,902.7
74,20190101,요식/유흥,1,60,235.5,393.1
75,20190101,요식/유흥,0,20,463.6,1148.3
76,20190101,요식/유흥,0,30,611.8,873.5000000000001
77,20190101,요식/유흥,0,40,749.8,911.5
78,20190101,요식/유흥,0,50,491.5,638.7
79,20190101,요식/유흥,0,60,154.4,236.4
80,20190101,의료,1,20,11.1,23.0
81,20190101,의료,1,30,58.5,73.1
82,20190101,의료,1,40,61.0,74.3
83,20190101,의료,1,50,31.8,41.699999999999996
84,20190101,의료,1,60,13.8,24.8
85,20190101,의료,0,20,17.6,28.3
86,20190101,의료,0,30,47.1,62.3
87,20190101,의료,0,40,41.7,53.400000000000006
88,20190101,의료,0,50,27.3,35.199999999999996
89,20190101,의료,0,60,10.4,17.099999999999998
90,20190101,자동차,1,20,8.5,17.6
91,20190101,자동차,1,30,25.9,38.800000000000004
92,20190101,자동차,1,40,26.4,34.7
93,20190101,자동차,1,50,16.0,23.400000000000002
94,20190101,자동차,1,60,5.8,11.3
95,20190101,자동차,0,20,4.7,7.6
96,20190101,자동차,0,30,11.3,15.9
97,20190101,자동차,0,40,12.1,15.9
98,20190101,자동차,0,50,8.2,11.1
99,20190101,자동차,0,60,2.4,4.3
100,20190101,주유,1,20,54.9,100.2
101,20190101,주유,1,30,171.4,276.9
102,20190101,주유,1,40,208.5,303.2
103,20190101,주유,1,50,167.9,306.1
104,20190101,주유,1,60,72.1,308.6
105,20190101,주유,0,20,26.1,37.0
106,20190101,주유,0,30,66.2,101.8
107,20190101,주유,0,40,83.7,121.3
108,20190101,주유,0,50,78.3,110.9
109,20190101,주유,0,60,26.8,51.199999999999996
110,20190101,패션/잡화,1,20,12.2,37.7
111,20190101,패션/잡화,1,30,26.2,51.3
112,20190101,패션/잡화,1,40,35.2,49.6
113,20190101,패션/잡화,1,50,22.5,31.799999999999997
114,20190101,패션/잡화,1,60,7.8,12.0
115,20190101,패션/잡화,0,20,22.1,66.7
116,20190101,패션/잡화,0,30,28.6,56.0
117,20190101,패션/잡화,0,40,41.4,57.3
118,20190101,패션/잡화,0,50,27.4,37.5
119,20190101,패션/잡화,0,60,10.0,14.799999999999997
120,20190101,편의점,1,20,304.2,1125.6
121,20190101,편의점,1,30,486.5,860.2
122,20190101,편의점,1,40,385.5,583.5
123,20190101,편의점,1,50,189.1,324.0
124,20190101,편의점,1,60,48.6,109.6
125,20190101,편의점,0,20,187.2,557.5
126,20190101,편의점,0,30,190.5,327.2
127,20190101,편의점,0,40,193.1,282.3
128,20190101,편의점,0,50,129.4,195.3
129,20190101,편의점,0,60,32.9,60.599999999999994
130,20190101,할인점/마트,1,20,146.9,531.5
131,20190101,할인점/마트,1,30,594.4,944.7
132,20190101,할인점/마트,1,40,807.1,1128.1
133,20190101,할인점/마트,1,50,521.4,810.0999999999999
134,20190101,할인점/마트,1,60,230.7,446.8
135,20190101,할인점/마트,0,20,166.6,455.7
136,20190101,할인점/마트,0,30,455.4,725.5
137,20190101,할인점/마트,0,40,642.0,963.6
138,20190101,할인점/마트,0,50,510.7,827.3000000000001
139,20190101,할인점/마트,0,60,218.4,415.1000000000001
140,20190102,가전/가구,1,20,8.3,37.0
141,20190102,가전/가구,1,30,28.1,30.1
142,20190102,가전/가구,1,40,43.5,27.1
143,20190102,가전/가구,1,50,39.3,21.1
144,20190102,가전/가구,1,60,20.3,12.7
145,20190102,가전/가구,0,20,8.5,25.7
146,20190102,가전/가구,0,30,21.3,21.9
147,20190102,가전/가구,0,40,33.5,23.0
148,20190102,가전/가구,0,50,33.2,20.5
149,20190102,가전/가구,0,60,14.6,9.7
150,20190102,가정생활/서비스,1,20,0.7,76.50000000000001
151,20190102,가정생활/서비스,1,30,5.6,152.5
152,20190102,가정생활/서비스,1,40,8.2,201.0
153,20190102,가정생활/서비스,1,50,3.5,135.5
154,20190102,가정생활/서비스,1,60,1.8,67.0
155,20190102,가정생활/서비스,0,20,2.0,79.4
156,20190102,가정생활/서비스,0,30,22.8,166.4
157,20190102,가정생활/서비스,0,40,10.8,211.10000000000002
158,20190102,가정생활/서비스,0,50,3.3,125.89999999999999
159,20190102,가정생활/서비스,0,60,1.8,52.5
160,20190102,교육/학원,1,20,10.4,32.5
161,20190102,교육/학원,1,30,47.1,35.3
162,20190102,교육/학원,1,40,131.1,96.5
163,20190102,교육/학원,1,50,51.4,44.3
164,20190102,교육/학원,1,60,11.2,11.399999999999999
165,20190102,교육/학원,0,20,18.9,57.7
166,20190102,교육/학원,0,30,69.4,71.3
167,20190102,교육/학원,0,40,154.2,130.6
168,20190102,교육/학원,0,50,43.6,38.6
169,20190102,교육/학원,0,60,9.4,9.2
170,20190102,미용,1,20,20.0,57.3
171,20190102,미용,1,30,38.8,56.699999999999996
172,20190102,미용,1,40,45.0,60.6
173,20190102,미용,1,50,31.1,46.7
174,20190102,미용,1,60,8.4,23.200000000000003
175,20190102,미용,0,20,44.9,64.2
176,20190102,미용,0,30,45.8,49.7
177,20190102,미용,0,40,60.7,69.6
178,20190102,미용,0,50,45.5,63.5
179,20190102,미용,0,60,15.6,30.8
180,20190102,백화점/상품권/아울렛,1,20,18.5,31.2
181,20190102,백화점/상품권/아울렛,1,30,74.2,49.4
182,20190102,백화점/상품권/아울렛,1,40,77.4,44.6
183,20190102,백화점/상품권/아울렛,1,50,48.9,33.1
184,20190102,백화점/상품권/아울렛,1,60,22.3,19.5
185,20190102,백화점/상품권/아울렛,0,20,47.8,73.3
186,20190102,백화점/상품권/아울렛,0,30,117.4,94.7
187,20190102,백화점/상품권/아울렛,0,40,129.7,89.0
188,20190102,백화점/상품권/아울렛,0,50,99.0,69.9
189,20190102,백화점/상품권/아울렛,0,60,45.0,40.7
190,20190102,스포츠/문화/레저,1,20,69.0,416.0
191,20190102,스포츠/문화/레저,1,30,86.6,150.1
192,20190102,스포츠/문화/레저,1,40,96.2,149.3
193,20190102,스포츠/문화/레저,1,50,65.1,98.1
194,20190102,스포츠/문화/레저,1,60,25.2,37.9
195,20190102,스포츠/문화/레저,0,20,36.8,150.9
196,20190102,스포츠/문화/레저,0,30,54.6,105.0
197,20190102,스포츠/문화/레저,0,40,83.9,158.3
198,20190102,스포츠/문화/레저,0,50,63.2,93.19999999999999
199,20190102,스포츠/문화/레저,0,60,21.6,32.5
200,20190102,여행/교통,1,20,21.7,19.2
201,20190102,여행/교통,1,30,66.1,23.4
202,20190102,여행/교통,1,40,85.3,27.0
203,20190102,여행/교통,1,50,60.1,18.1
204,20190102,여행/교통,1,60,21.0,8.3
205,20190102,여행/교통,0,20,27.4,13.2
206,20190102,여행/교통,0,30,49.9,15.3
207,20190102,여행/교통,0,40,56.7,17.2
208,20190102,여행/교통,0,50,40.6,11.100000000000001
209,20190102,여행/교통,0,60,12.4,4.8999999999999995
210,20190102,요식/유흥,1,20,360.7,1225.0
211,20190102,요식/유흥,1,30,851.5,1222.1
212,20190102,요식/유흥,1,40,943.2,1139.3
213,20190102,요식/유흥,1,50,605.8,818.9
214,20190102,요식/유흥,1,60,230.4,396.3
215,20190102,요식/유흥,0,20,425.6,1218.1999999999998
216,20190102,요식/유흥,0,30,657.6,954.0
217,20190102,요식/유흥,0,40,806.7,1004.0
218,20190102,요식/유흥,0,50,521.8,668.8
219,20190102,요식/유흥,0,60,165.2,251.3
220,20190102,의료,1,20,57.1,143.5
